4,  0.05,  SIGMOID,  ANNEALING,  35.67787950043107,  35.21825135243708,  35.34684915267883,  35.414326668515656
4,  0.05,  SIGMOID,  MOMENTUM - ANNEALING,  35.00415260486681,  34.584902407621755,  34.240693195875544,  34.6099160694547
4,  0.05,  TANH,  ANNEALING,  33.540498816360675,  33.643143121129434,  33.569609030836475,  33.5844169894422
4,  0.05,  TANH,  MOMENTUM - ANNEALING, ,  33.879158519898894,  33.902087621931535,  37.69931110652505
4,  0.05,  RELU,  ANNEALING,  49.93584356583029,  49.344902182948296, ,  46.377768461950744
4,  0.05,  RELU,  MOMENTUM - ANNEALING,  37.07351240800305,  37.3453958085408, ,  39.6736983409974
4,  0.1,  SIGMOID,  ANNEALING,  34.383019749593025,  34.16752133477528,  34.651231746938,  34.40059094376877
4,  0.1,  SIGMOID,  MOMENTUM - ANNEALING,  33.232289294481454,  34.18187525882707,  33.43704747862717,  33.617070677311894
4,  0.1,  TANH,  ANNEALING,  33.77581251539418,  33.809035588128886,  33.834839494088165,  33.80656253253707
4,  0.1,  TANH,  MOMENTUM - ANNEALING,  34.820129578948446,  34.5928096225707,  34.62644332168418,  34.67979417440111
4,  0.1,  RELU,  ANNEALING, ,  40.44438043388156,  38.397850488284206,  45.979131922619764
4,  0.1,  RELU,  MOMENTUM - ANNEALING,  40.05186976995848,  43.40373087075967,  40.96102715667598,  41.47220926579804
4,  0.15,  SIGMOID,  ANNEALING,  33.381235153770895,  34.3708802930945,  33.81776223414776,  33.856625893671044
4,  0.15,  SIGMOID,  MOMENTUM - ANNEALING,  33.13725983398847,  33.037449803354285,  33.1063715637904,  33.093693733711056
4,  0.15,  TANH,  ANNEALING,  34.33859553775956,  34.14392815580694,  34.38762114033609,  34.29004827796752
4,  0.15,  TANH,  MOMENTUM - ANNEALING,  35.11462885540947,  35.168871995280305,  35.282986188600745,  35.18882901309684
4,  0.15,  RELU,  ANNEALING, ,  46.8764882183362,  46.63725219796235,  44.92403881762554
4,  0.15,  RELU,  MOMENTUM - ANNEALING, ,  38.91438348079249,  38.49113703197263,  42.96983668373798
4,  0.2,  SIGMOID,  ANNEALING,  34.01827180323467,  33.46911768914252,  34.54003737808953,  34.00914229015557
4,  0.2,  SIGMOID,  MOMENTUM - ANNEALING,  33.113940746806364,  35.57619850540062,  34.907922062074086,  34.532687104760356
4,  0.2,  TANH,  ANNEALING,  34.61279697138941,  34.61958786254807,  34.551056632941076,  34.594480488959526
4,  0.2,  TANH,  MOMENTUM - ANNEALING,  35.642125389613064,  35.70430911648822,  35.59761007332299,  35.648014859808086
4,  0.2,  RELU,  ANNEALING,  41.22999476811458,  37.73032955665798, ,  42.336639475345294
4,  0.2,  RELU,  MOMENTUM - ANNEALING,  39.87423965194817, ,  40.44398604054441,  45.140687168367634
4,  0.25,  SIGMOID,  ANNEALING,  33.32447358211994,  33.5948083649097,  34.26336760538842,  33.72754985080602
4,  0.25,  SIGMOID,  MOMENTUM - ANNEALING,  34.754749159453524,  34.08402229637092,  33.14718057309655,  33.995317342973664
4,  0.25,  TANH,  ANNEALING,  34.62162653609064,  34.854520629726,  34.934156173391045,  34.803434446402555
4,  0.25,  TANH,  MOMENTUM - ANNEALING,  35.75761967346314,  35.624179440418004,  35.54642357068694,  35.642740894856026
4,  0.25,  RELU,  ANNEALING, ,  52.638063163574785,  50.007599937207964,  46.94489240929332
4,  0.25,  RELU,  MOMENTUM - ANNEALING,  38.83801825018405,  39.190702927377465, ,  42.281028660787946
4,  0.3,  SIGMOID,  ANNEALING,  33.51850185390724,  33.12493747274232,  33.406599505291986,  33.350012943980516
4,  0.3,  SIGMOID,  MOMENTUM - ANNEALING,  35.48176381512572,  34.34617353450004,  34.029359564240785,  34.61909897128885
4,  0.3,  TANH,  ANNEALING,  35.246775625597124,  35.22832569256064,  35.11039794330241,  35.19516642048672
4,  0.3,  TANH,  MOMENTUM - ANNEALING,  36.30836485480058,  35.94557910766312,  36.213605660784836,  36.15584987441618
4,  0.3,  RELU,  ANNEALING, ,  46.74299537545179,  43.929231411398106,  42.429018531847
4,  0.3,  RELU,  MOMENTUM - ANNEALING,  36.72979979883574,  41.70625808359859, ,  46.887818329624146
4,  0.35,  SIGMOID,  ANNEALING,  34.91934342609985,  34.199086292846154,  33.13539599537618,  34.084608571440725
4,  0.35,  SIGMOID,  MOMENTUM - ANNEALING,  33.39982204560297,  34.34663296041594,  35.43593727680367,  34.39413076094086
4,  0.35,  TANH,  ANNEALING,  35.49069455140712,  35.47316963790015,  35.46442252195899,  35.47609557042208
